dist_name,gpq_mse,hsgp_mse,hsgp_q_mse,gpq_q_mse,quantum_analytical_mse,quantum_mse
gamma,0.0011452993686030474,0.0011388335981836301,0.01575551507818197,0.017198047662812212,0.015755515078182087,0.012553924084179999
lognormal,0.007847485050895367,0.007840728684866143,0.11204472550689784,0.12327230464626485,0.11204472550689756,0.09656968652526075
pareto,0.0041400292290692245,0.00411052347413749,0.05889662117300544,0.03924638857779844,0.058896621173004926,0.0327355394029201
poisson,0.0013878237943198402,0.0013885689896540895,0.02017794308118751,0.019129219110780665,0.0201779430811872,0.01763842515758697
weibull,0.0007208978475435134,0.0007176257513809607,0.009026916727305009,0.010135452138656464,0.009026916727305058,0.007610213259681815
