dist,payoff,exact,q_mean,abs_err,pct_err,N,M,tau,noise_std,length_scale,shots,time_s
pareto,franchise_deductible,1.485,2.9169292065249444,1.4319292065249443,96.42620919359894,32,8,4,0.001,3.0,65536,0.8743961000000127
pareto,policy_limit,1.4750000000538668,3.0454104454768025,1.5704104454229357,106.4685047705481,32,8,4,0.001,3.0,65536,0.8616898000000219
pareto,deductible_with_limit,0.4811111111370867,0.6815534891698461,0.20044237803275944,41.662388041511235,32,8,4,0.001,3.0,65536,0.856696999999258
pareto,stop_loss,0.486,0.6855785654670867,0.19957856546708674,41.06554845001785,32,8,4,0.001,3.0,65536,0.8734891999993124
lognormal,ordinary_deductible,0.8579739047504147,0.8583948903965806,0.0004209856461658834,0.04906741846517447,32,8,4,0.001,3.0,65536,0.854203700000653
lognormal,franchise_deductible,1.3569725786927767,1.4366319592299566,0.07965938053717991,5.870375112068869,32,8,4,0.001,3.0,65536,0.846532899999147
lognormal,policy_limit,1.4655262805158773,1.7133411155745275,0.2478148350586502,16.909613860450005,32,8,4,0.001,3.0,65536,0.8504092000002856
lognormal,deductible_with_limit,0.7484181837430338,0.7549075665854301,0.006489382842396307,0.8670797935375136,32,8,4,0.001,3.0,65536,0.8532491000005393
lognormal,stop_loss,0.8579739047504147,0.8583948903965806,0.0004209856461658834,0.04906741846517447,32,8,4,0.001,3.0,65536,0.8426614999989397
gamma,ordinary_deductible,1.0943071914960318,1.4197874182642833,0.3254802267682515,29.743040098574713,32,8,4,0.001,3.0,65536,0.8428241000001435
gamma,franchise_deductible,1.829066071877044,2.385214898282765,0.556148826405721,30.406163831740862,32,8,4,0.001,3.0,65536,0.8359798000019509
gamma,policy_limit,1.9478343710072936,2.4756498481233513,0.5278154771160577,27.097554338930046,32,8,4,0.001,3.0,65536,0.8488800000013725
gamma,deductible_with_limit,1.0788083093197212,1.4079095320838577,0.32910122276413656,30.505996285073333,32,8,4,0.001,3.0,65536,0.8376320000024862
gamma,stop_loss,1.0943071914960318,1.4197874182642833,0.3254802267682515,29.743040098574713,32,8,4,0.001,3.0,65536,0.8420679999981076
weibull,ordinary_deductible,0.9256128274064236,1.1814861418964993,0.25587331449007567,27.643665570953164,32,8,4,0.001,3.0,65536,0.8475882000020647
weibull,franchise_deductible,1.6268013317246828,1.9917703462148466,0.36496901449016383,22.43476246132866,32,8,4,0.001,3.0,65536,0.8349257999980182
weibull,policy_limit,1.7853605191923019,2.0560166305230054,0.27065611133070355,15.159745520369663,32,8,4,0.001,3.0,65536,0.8529215999988082
weibull,deductible_with_limit,0.9234985804117545,1.1794198755223924,0.2559212951106379,27.712148187226436,32,8,4,0.001,3.0,65536,0.8464819000000716
weibull,stop_loss,0.9256128274064236,1.1814861418964993,0.25587331449007567,27.643665570953164,32,8,4,0.001,3.0,65536,0.8421335999992152
pareto,ordinary_deductible,0.486,0.7122720926349206,0.22627209263492065,46.558043752041286,32,8,5,0.001,3.0,32768,0.9056878000010329
pareto,franchise_deductible,1.485,2.8635572801048217,1.3785572801048216,92.83214007439875,32,8,5,0.001,3.0,32768,0.9500631999981124
pareto,policy_limit,1.4750000000538668,2.998559721562799,1.5235597215089323,103.29218450530794,32,8,5,0.001,3.0,32768,0.8836136999998416
pareto,deductible_with_limit,0.4811111111370867,0.7052080350544684,0.22409692391738167,46.579037301328924,32,8,5,0.001,3.0,32768,0.8868664000001445
pareto,stop_loss,0.486,0.7122720926349206,0.22627209263492065,46.558043752041286,32,8,5,0.001,3.0,32768,0.8913477999994939
lognormal,ordinary_deductible,0.8579739047504147,0.8774243982610972,0.01945049351068251,2.267026235062554,32,8,5,0.001,3.0,32768,0.8774044000019785
lognormal,franchise_deductible,1.3569725786927767,1.4817801139027043,0.1248075352099276,9.19749869449532,32,8,5,0.001,3.0,32768,0.8630247999972198
lognormal,policy_limit,1.4655262805158773,1.7658911901533636,0.3003649096374863,20.495361538774684,32,8,5,0.001,3.0,32768,0.877295199999935
lognormal,deductible_with_limit,0.7484181837430338,0.7780565819344734,0.02963839819143954,3.960138707909288,32,8,5,0.001,3.0,32768,0.8707304999988992
lognormal,stop_loss,0.8579739047504147,0.8774243982610972,0.01945049351068251,2.267026235062554,32,8,5,0.001,3.0,32768,0.8854100999997172
gamma,ordinary_deductible,1.0943071914960318,1.3253218739723267,0.23101468247629486,21.110587984026107,32,8,5,0.001,3.0,32768,0.8836974000005284
gamma,franchise_deductible,1.829066071877044,2.3720658234199927,0.5429997515429488,29.687268267225893,32,8,5,0.001,3.0,32768,0.8398593999991135
gamma,policy_limit,1.9478343710072936,2.5885584598123246,0.640724088805031,32.894177161156165,32,8,5,0.001,3.0,32768,0.8869950999978755
gamma,deductible_with_limit,1.0788083093197212,1.311683287600739,0.23287497828101777,21.586316704203448,32,8,5,0.001,3.0,32768,0.8431399000000965
gamma,stop_loss,1.0943071914960318,1.3253218739723267,0.23101468247629486,21.110587984026107,32,8,5,0.001,3.0,32768,0.8566800000007788
weibull,ordinary_deductible,0.9256128274064236,1.2066060864288726,0.280993259022449,30.357537266396246,32,8,5,0.001,3.0,32768,0.8428506999989622
weibull,franchise_deductible,1.6268013317246828,2.1203442642697334,0.49354293254505066,30.338242471304856,32,8,5,0.001,3.0,32768,0.840550599998096
weibull,policy_limit,1.7853605191923019,2.202928583878361,0.41756806468605934,23.388445089788775,32,8,5,0.001,3.0,32768,0.8501809999979741
