dist,payoff,exact,analytical_mean,analytical_err,N,M,noise_std,length_scale,F_sq,cond_XtX,n_eff_eigvals,min_phase_gap
gamma,deductible_with_limit,1.0788083093197212,1.4607306458439893,0.3819223365242681,8,2,0.001,1.0,3.408837506607112,6.113859614989434,2,0.7188586634763146
gamma,stop_loss,1.0943071914960318,1.4691707272359489,0.37486353573991704,8,2,0.001,1.0,3.408837506607112,6.113859614989434,2,0.7188586634763146
weibull,ordinary_deductible,0.9256128274064236,1.3878570560370656,0.46224422863064196,8,2,0.001,1.0,4.108975694992546,5.577007472478965,2,0.6959103348492666
weibull,franchise_deductible,1.6268013317246828,2.1607190162842262,0.5339176845595435,8,2,0.001,1.0,4.108975694992546,5.577007472478965,2,0.6959103348492666
weibull,policy_limit,1.7853605191923019,2.112731798301988,0.32737127910968633,8,2,0.001,1.0,4.108975694992546,5.577007472478965,2,0.6959103348492666
weibull,deductible_with_limit,0.9234985804117545,1.3842373415468945,0.46073876113514,8,2,0.001,1.0,4.108975694992546,5.577007472478965,2,0.6959103348492666
weibull,stop_loss,0.9256128274064236,1.3878570560370656,0.46224422863064196,8,2,0.001,1.0,4.108975694992546,5.577007472478965,2,0.6959103348492666
pareto,ordinary_deductible,0.486,0.6524025361417803,0.16640253614178036,8,2,0.001,2.0,3.5655301327184326,3.8449132637732872,2,0.5871959122664723
pareto,franchise_deductible,1.485,3.06683073617274,1.58183073617274,8,2,0.001,2.0,3.5655301327184326,3.8449132637732872,2,0.5871959122664723
pareto,policy_limit,1.4750000000538668,3.961094117158019,2.486094117104152,8,2,0.001,2.0,3.5655301327184326,3.8449132637732872,2,0.5871959122664723
pareto,deductible_with_limit,0.4811111111370867,0.6487344111620774,0.1676233000249907,8,2,0.001,2.0,3.5655301327184326,3.8449132637732872,2,0.5871959122664723
pareto,stop_loss,0.486,0.6524025361417803,0.16640253614178036,8,2,0.001,2.0,3.5655301327184326,3.8449132637732872,2,0.5871959122664723
lognormal,ordinary_deductible,0.8579739047504147,0.7053014698530434,0.15267243489737126,8,2,0.001,2.0,2.2080556123764787,4.704103540220742,2,0.6493752285705174
lognormal,franchise_deductible,1.3569725786927767,1.1833337318268922,0.1736388468658845,8,2,0.001,2.0,2.2080556123764787,4.704103540220742,2,0.6493752285705174
lognormal,policy_limit,1.4655262805158773,1.8432078701631434,0.37768158964726606,8,2,0.001,2.0,2.2080556123764787,4.704103540220742,2,0.6493752285705174
lognormal,deductible_with_limit,0.7484181837430338,0.5699560834412345,0.17846210030179932,8,2,0.001,2.0,2.2080556123764787,4.704103540220742,2,0.6493752285705174
lognormal,stop_loss,0.8579739047504147,0.7053014698530434,0.15267243489737126,8,2,0.001,2.0,2.2080556123764787,4.704103540220742,2,0.6493752285705174
gamma,ordinary_deductible,1.0943071914960318,1.4691715388369306,0.3748643473408988,8,2,0.001,2.0,5.28923066053782,6.165510931583081,2,0.7208852210126853
gamma,franchise_deductible,1.829066071877044,2.1480481180431608,0.3189820461661168,8,2,0.001,2.0,5.28923066053782,6.165510931583081,2,0.7208852210126853
gamma,policy_limit,1.9478343710072936,2.089356853874272,0.14152248286697855,8,2,0.001,2.0,5.28923066053782,6.165510931583081,2,0.7208852210126853
gamma,deductible_with_limit,1.0788083093197212,1.4607314507615978,0.38192314144187667,8,2,0.001,2.0,5.28923066053782,6.165510931583081,2,0.7208852210126853
gamma,stop_loss,1.0943071914960318,1.4691715388369306,0.3748643473408988,8,2,0.001,2.0,5.28923066053782,6.165510931583081,2,0.7208852210126853
weibull,ordinary_deductible,0.9256128274064236,1.387857566847039,0.4622447394406154,8,2,0.001,2.0,5.665560206787876,6.315748697186884,2,0.72661718126416
weibull,franchise_deductible,1.6268013317246828,2.1607197963036966,0.5339184645790138,8,2,0.001,2.0,5.665560206787876,6.315748697186884,2,0.72661718126416
