method,mean_pct_err,median_pct_err,max_pct_err,min_pct_err,mean_mse,median_mse,max_mse,min_mse
gpq,2.3350502020861827,1.6682880578168742,7.679745616577928,0.22894959761902972,0.0030483070580861987,0.0011233403096008272,0.010351360288829842,0.0006115212981101834
hsgp,2.358026115799967,1.6710688977472576,7.683993648606345,0.23006905321578877,0.003039256099644463,0.0011129190052201303,0.010349369006800339,0.000610501820831418
quantum_analytical,8.61234984073609,4.692061717920985,20.82750632477955,1.4552591639578336,0.04318034431331537,0.020390641947231697,0.1607262495268056,0.008347935427665586
quantum,5.250381906606144,2.349314182276592,13.432687485577194,0.5794190078850586,0.03342155768592593,0.017708726138782292,0.12720622934788622,0.007502889335461553
