quantum_N,quantum_M,quantum_noise_std,quantum_length_scale,n_eigenvalue_qubits,shots,mean_abs_err,max_abs_err
32,6,0.001,0.5,6,32768,0.12231717530862105,0.5356361659403102
32,6,0.01,1.0,7,32768,0.12312399539867439,0.40119260456186034
32,6,0.001,0.5,4,32768,0.12867090008570203,0.5234560547291769
32,6,0.001,1.0,4,32768,0.13116797187297088,0.5181850166871687
32,6,0.01,2.0,6,32768,0.13167754866961365,0.40332980839525656
32,6,0.01,0.5,7,32768,0.13648810395432187,0.5107124417212228
32,6,0.01,1.0,5,32768,0.13653314570233838,0.5499490727327836
32,6,0.001,0.5,5,32768,0.13946462425400263,0.5495496940893334
32,6,0.01,0.5,8,32768,0.14238101456534555,0.5743047450326682
32,6,0.01,0.5,4,32768,0.14305717162477138,0.5509821517077356
32,6,0.001,2.0,5,32768,0.14626859620562851,0.3319963700275159
32,6,0.01,2.0,5,65536,0.14808192416142332,0.31187045360866206
32,6,0.01,0.5,6,32768,0.15025528827657308,0.5561767176843864
32,6,0.01,1.0,4,32768,0.15663044463273496,0.5605574964000173
32,6,0.01,0.5,5,32768,0.16133538667160902,0.5935187585809003
32,6,0.01,2.0,5,32768,0.17452837557253606,0.3488246749599977
32,6,0.001,3.0,7,65536,0.18742197206287645,0.9488114421253884
32,8,0.001,3.0,7,65536,0.19108809824313086,0.9488113408000034
32,6,0.001,2.0,4,65536,0.19606724439672107,0.7698368975003493
32,6,0.001,3.0,7,32768,0.2076700058560741,1.0571891371998472
32,8,0.001,3.0,7,32768,0.21906988287295528,1.0571890313438246
32,6,0.01,2.0,4,65536,0.22293819220679945,0.790995742152333
32,6,0.001,2.0,4,32768,0.22332284392971316,0.9118830740687516
32,8,0.001,3.0,6,65536,0.2235586317932317,0.9216887072968469
32,6,0.001,3.0,6,65536,0.23189936381369392,0.9216881925044476
32,6,0.01,2.0,4,32768,0.2514686677028043,0.9204087128718359
32,8,0.001,3.0,6,32768,0.25788262871543793,1.0909223477764436
32,6,0.001,3.0,6,32768,0.26369654851920826,1.0909217966338116
32,6,0.001,3.0,5,65536,0.35623902522987316,1.4698085472537201
32,8,0.001,3.0,5,65536,0.36373442263792644,1.4698083308535175
32,6,0.001,3.0,4,65536,0.36567393105243207,1.5704108387344315
32,8,0.001,3.0,4,65536,0.37020318801897234,1.5704104454229357
32,6,0.001,3.0,5,32768,0.3758797580972058,1.523559941859074
32,6,0.001,3.0,4,32768,0.3803557774584258,1.674346636011109
32,8,0.001,3.0,5,32768,0.38537594111951534,1.5235597215089323
32,8,0.001,3.0,4,32768,0.38867266286972446,1.6743462292764177
